Слово: Abadsqaja, Не найдено подходящих лемм
Слово: Abix, Не найдено подходящих лемм
Слово: Adebeçan, Не найдено подходящих лемм
Слово: Aderbeçən, Низкая уверенность: dretə (60.0%)
Слово: Ajdinov, Низкая уверенность: ajna (62.5%)
Слово: Ajdьnov, Низкая уверенность: ajna (62.5%)
Слово: Alabama, Низкая уверенность: alma (62.5%)
Слово: Alaverdi, Не найдено подходящих лемм
Слово: Aleksandtovsk, Не найдено подходящих лемм
Слово: Aleqsandrov, Не найдено подходящих лемм
Слово: Amerikəktivlun, Не найдено подходящих лемм
Слово: Amsterdam, Не найдено подходящих лемм
Слово: Amətiqə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Angarastroj, Не найдено подходящих лемм
Слово: Anri, Не найдено подходящих лемм
Слово: Antantə, Лемма: nətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Anxelotɩə, Низкая уверенность: xelə (62.5%)
Слово: Apqanistan, Не найдено подходящих лемм
Слово: Armənistan, Низкая уверенность: mənə (62.5%)
Слово: Atnarette, Низкая уверенность: atra (62.5%)
Слово: Avcijev, Низкая уверенность: caj (62.5%)
Слово: Aznǝvt, Не найдено подходящих лемм
Слово: BPragtə, Низкая уверенность: apra (62.5%)
Слово: Baha, Не найдено подходящих лемм
Слово: Bahə, Не найдено подходящих лемм
Слово: Bajdax, Не найдено подходящих лемм
Слово: Bajjəs, Не найдено подходящих лемм
Слово: Baku, Не найдено подходящих лемм
Слово: Balkan, Не найдено подходящих лемм
Слово: Baltik, Не найдено подходящих лемм
Слово: Baltьsk, Не найдено подходящих лемм
Слово: Bangal, Не найдено подходящих лемм
Слово: Baqu, Не найдено подходящих лемм
Слово: Baranovici, Не найдено подходящих лемм
Слово: Barbius, Не найдено подходящих лемм
Слово: Barbus, Не найдено подходящих лемм
Слово: Baro, Не найдено подходящих лемм
Слово: Barselona, Не найдено подходящих лемм
Слово: Bartolmaj, Не найдено подходящих лемм
Слово: Barzarra, Не найдено подходящих лемм
Слово: Basma, Не найдено подходящих лемм
Слово: Batsjluta, Не найдено подходящих лемм
Слово: Batəlta, Низкая уверенность: tələ (62.5%)
Слово: Bdəjxuta, Низкая уверенность: dij (62.5%)
Слово: Belgija, Не найдено подходящих лемм
Слово: Belgijo, Не найдено подходящих лемм
Слово: Belgijə, Не найдено подходящих лемм
Слово: Belgorəd, Не найдено подходящих лемм
Слово: Belgrad, Не найдено подходящих лемм
Слово: Belogvardejets, Не найдено подходящих лемм
Слово: Belogvardejtsi, Не найдено подходящих лемм
Слово: Belorussja, Не найдено подходящих лемм
Слово: Belorusьjə, Не найдено подходящих лемм
Слово: Belostok, Низкая уверенность: losə (62.5%)
Слово: Belpast, Низкая уверенность: alpa (62.5%)
Слово: Berlando, Не найдено подходящих лемм
Слово: Berlin, Не найдено подходящих лемм
Слово: Berliner, Не найдено подходящих лемм
Слово: Bernard, Не найдено подходящих лемм
Слово: Bgibə, Не найдено подходящих лемм
Слово: Bgərvəstə, Не найдено подходящих лемм
Слово: Bibnajivəx, Не найдено подходящих лемм
Слово: Bijə, Не найдено подходящих лемм
Слово: Bilgənila, Не найдено подходящих лемм
Слово: Bimərinə, Низкая уверенность: mərə (62.5%)
Слово: Biqtəvinə, Не найдено подходящих лемм
Слово: Birkenxed, Не найдено подходящих лемм
Слово: Birkə, Не найдено подходящих лемм
Слово: Bkejrat, Низкая уверенность: kuj (62.5%)
Слово: Bluxer, Не найдено подходящих лемм
Слово: Bməjmuta, Низкая уверенность: məjmuntə (60.0%)
Слово: Bmərjəztə, Низкая уверенность: mərzə (60.0%)
Слово: Bmətvətə, Низкая уверенность: mətə (62.5%)
Слово: Bməxləptə, Низкая уверенность: məx (62.5%)
Слово: Bneta, Не найдено подходящих лемм
Слово: Bnisbət, Низкая уверенность: nist (60.0%)
Слово: Boguşevskij, Низкая уверенность: guşə (62.5%)
Слово: Bolgarija, Не найдено подходящих лемм
Слово: Bolşevika, Не найдено подходящих лемм
Слово: Bolşeviki, Не найдено подходящих лемм
Слово: Bolşeviqi, Не найдено подходящих лемм
Слово: Bombaj, Не найдено подходящих лемм
Слово: Bora, Не найдено подходящих лемм
Слово: Botaničesqijj, Не найдено подходящих лемм
Слово: Bpalattə, Низкая уверенность: pal (62.5%)
Слово: Bprəktə, Низкая уверенность: pirə (62.5%)
Слово: Brian, Не найдено подходящих лемм
Слово: Britin, Не найдено подходящих лемм
Слово: Briжан, Не найдено подходящих лемм
Слово: Bruklin, Не найдено подходящих лемм
Слово: Brusel, Не найдено подходящих лемм
Слово: Brьzzaja, Низкая уверенность: rьzaja/rьzzaja (60.0%)
Слово: Bsipvati, Низкая уверенность: sipə (62.5%)
Слово: Bsuraja, Низкая уверенность: sara (62.5%)
Слово: Bsəplatəli, Низкая уверенность: səpetə (60.0%)
Слово: Btempi, Не найдено подходящих лемм
Слово: Btpəktə, Низкая уверенность: tpətə (60.0%)
Слово: Btəmuz, Не найдено подходящих лемм
Слово: Btərəstə, Не найдено подходящих лемм
Слово: Bulganə, Не найдено подходящих лемм
Слово: Bursqij, Не найдено подходящих лемм
Слово: Burzuǝijə, Низкая уверенность: urzə (62.5%)
Слово: Buržuazija, Не найдено подходящих лемм
Слово: Buržuazijə, Не найдено подходящих лемм
Слово: Buşəjuvi, Низкая уверенность: şaj (62.5%)
Слово: Bvrəxtə, Не найдено подходящих лемм
Слово: Bxalsbuta, Низкая уверенность: xala (62.5%)
Слово: Bxləstə, Низкая уверенность: xelə (62.5%)
Слово: Bxəqmə, Не найдено подходящих лемм
Слово: Bzrətə, Не найдено подходящих лемм
Слово: Bzьb, Не найдено подходящих лемм
Слово: Bçirij, Не найдено подходящих лемм
Слово: Bəbə, Не найдено подходящих лемм
Слово: Bəha, Не найдено подходящих лемм
Слово: Bəhə, Не найдено подходящих лемм
Слово: Bəndən, Не найдено подходящих лемм
Слово: Bərkərь, Не найдено подходящих лемм
Слово: Bəsə, Не найдено подходящих лемм
Слово: Bəsən, Не найдено подходящих лемм
Слово: Bətveti, Не найдено подходящих лемм
Слово: Bətь, Не найдено подходящих лемм
Слово: Bəxtəti, Низкая уверенность: xətə (62.5%)
Слово: Bɩbajjɩvɩn, Не найдено подходящих лемм
Слово: Bьbajjьvьn, Не найдено подходящих лемм
Слово: Bьbjivsun, Не найдено подходящих лемм
Слово: Calalbjuta, Низкая уверенность: lala (62.5%)
Слово: Cansuelan, Не найдено подходящих лемм
Слово: Cansuelən, Не найдено подходящих лемм
Слово: Cexoslovakija, Не найдено подходящих лемм
Слово: Cimь, Не найдено подходящих лемм
Слово: Dakota, Лемма: dik (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Daşkesan, Низкая уверенность: şik (62.5%)
Слово: Demonstrasija, Не найдено подходящих лемм
Слово: Demonstratsii, Не найдено подходящих лемм
Слово: Demonstratsija, Не найдено подходящих лемм
Слово: Detrojt, Низкая уверенность: tre (62.5%)
Слово: Dirizəbl, Лемма: dərzə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dirizəbləstroj, Не найдено подходящих лемм
