Слово: Aden, Предложенная лемма: denə (100.0%)
Слово: Aderbeçan, Предложенная лемма: drana (70.0%)
Слово: Adeverul, Предложенная лемма: dav (100.0%)
Слово: Adija, Предложенная лемма: dij (100.0%)
Слово: Aeroplanb, Предложенная лемма: aeroplan (100.0%)
Слово: Aeroplanı, Предложенная лемма: aeroplan (100.0%)
Слово: Ahvalən, Предложенная лемма: ahval (100.0%)
Слово: Ajvazov, Предложенная лемма: ajva (100.0%)
Слово: Akarь, Предложенная лемма: kar (100.0%)
Слово: Alvar, Предложенная лемма: al (100.0%)
Слово: Amariqəji, Предложенная лемма: amra (100.0%)
Слово: Amerika, Предложенная лемма: amra (100.0%)
Слово: Amerikə, Предложенная лемма: amra (100.0%)
Слово: Amerikəji, Предложенная лемма: amra (100.0%)
Слово: Amerikəjə, Предложенная лемма: amra (100.0%)
Слово: Ameriqa, Предложенная лемма: amra (100.0%)
Слово: Ameriqə, Предложенная лемма: amra (100.0%)
Слово: Ameriqəji, Предложенная лемма: amra (100.0%)
Слово: Ammə, Предложенная лемма: am (100.0%)
Слово: Amol, Предложенная лемма: am (100.0%)
Слово: Andrej, Предложенная лемма: nьdra (100.0%)
Слово: Andrerejev, Предложенная лемма: nьdra (100.0%)
Слово: Angara, Предложенная лемма: nigaran (100.0%)
Слово: Angora, Предложенная лемма: nigaran (100.0%)
Слово: Aprika, Предложенная лемма: apra (100.0%)
Слово: Apriqa, Предложенная лемма: apra (100.0%)
Слово: Aqamatsu, Предложенная лемма: qoma (100.0%)
Слово: Arabistan, Предложенная лемма: ara (100.0%)
Слово: Arabьstan, Предложенная лемма: ara (100.0%)
Слово: Araki, Предложенная лемма: ara (100.0%)
Слово: Araqi, Предложенная лемма: ara (100.0%)
Слово: Armavir, Предложенная лемма: rama (100.0%)
Слово: Arxangelsk, Предложенная лемма: ruxa (100.0%)
Слово: Arxanglesq, Предложенная лемма: ruxa (100.0%)
Слово: Asaxi, Предложенная лемма: sax (100.0%)
Слово: Astara, Предложенная лемма: astar (100.0%)
Слово: Astria, Предложенная лемма: astar (100.0%)
Слово: Astrija, Предложенная лемма: astar (100.0%)
Слово: Astrolija, Предложенная лемма: astar (100.0%)
Слово: Ataqe, Предложенная лемма: taqqa-taq (100.0%)
Слово: Atlantiq, Предложенная лемма: tala (100.0%)
Слово: Avdijşojev, Предложенная лемма: djəşə (66.7%)
Слово: Avstria, Предложенная лемма: astar (66.7%)
Слово: Avstries, Предложенная лемма: astar (66.7%)
Слово: Avstrija, Предложенная лемма: astar (66.7%)
Слово: AvstroGerməniə, Предложенная лемма: astar (66.7%)
