Слово: salьmun, Предложенная лемма: salmanta (100.0%)
Слово: ldju, Предложенная лемма: aldujь (100.0%)
Слово: вuqьrran, Предложенная лемма: вuqara (100.0%)
Слово: dlazьm, Предложенная лемма: lazьm (66.7%)
Слово: məxrivitunlə, Предложенная лемма: məxruvi (100.0%)
Слово: şəgirt, Предложенная лемма: şəgird (88.9%)
Слово: ərqij, Предложенная лемма: ərquli (75.0%)
Слово: ahьtasьja, Предложенная лемма: aheta (100.0%)
Слово: вьsparьvə, Предложенная лемма: вьsra (77.8%)
Слово: maddurь, Предложенная лемма: maddurь (100.0%)
Слово: gəriș, Предложенная лемма: gori (100.0%)
Слово: kundirri, Предложенная лемма: kundə (100.0%)
Слово: вrəqəlo, Предложенная лемма: вrəqtə (88.9%)
Слово: вьşmaju, Предложенная лемма: şmaja (66.7%)
Слово: kepciji, Предложенная лемма: kep (100.0%)
Слово: vozzi, Предложенная лемма: əzizij (62.5%)
Слово: qnitilə, Предложенная лемма: qunçijtə (66.7%)
Слово: təşqəlujəti, Предложенная лемма: təşqəl (100.0%)
Слово: dgrəşə, Предложенная лемма: grəşə (66.7%)
Слово: şvijqo, Предложенная лемма: şvijtə (88.9%)
Слово: tutə, Предложенная лемма: ətutə (100.0%)
Слово: mədmixijlə, Предложенная лемма: mədmuxi (100.0%)
Слово: təhri, Предложенная лемма: təhər (100.0%)
Слово: muxnitivən, Предложенная лемма: muxə (100.0%)
Слово: pjəşivin, Предложенная лемма: pjəşə (100.0%)
Слово: cingirrəni, Предложенная лемма: cingirənə (90.9%)
Слово: xazadь, Предложенная лемма: xzada (100.0%)
Слово: şəllilij, Предложенная лемма: şiljə (70.0%)
Слово: hədxinə, Предложенная лемма: həd (100.0%)
Слово: sьxvanta, Предложенная лемма: sьxva (100.0%)
Слово: вixxəjə, Предложенная лемма: вixjə (77.8%)
Слово: вəlsu, Предложенная лемма: вəlmuli (75.0%)
Слово: məjjilə, Предложенная лемма: məjuji (100.0%)
Слово: məqqijəniə, Предложенная лемма: məqqijənə (100.0%)
Слово: həmzimin, Предложенная лемма: həm (100.0%)
Слово: ittun, Предложенная лемма: it (100.0%)
Слово: xpərtə, Предложенная лемма: xpərə (100.0%)
Слово: məxxuвovin, Предложенная лемма: məxxə (100.0%)
Слово: mavira, Предложенная лемма: avara (62.5%)
Слово: gurmə, Предложенная лемма: gərmə (100.0%)
Слово: znetə, Предложенная лемма: zetə (62.5%)
Слово: gaввara, Предложенная лемма: gaвara (77.8%)
Слово: qərəzutə, Предложенная лемма: qərutə (77.8%)
Слово: pьlto, Предложенная лемма: pal (100.0%)
Слово: muxвьrun, Предложенная лемма: muxə (100.0%)
Слово: вisləвən, Предложенная лемма: sləвə (66.7%)
Слово: duzəlmiş, Предложенная лемма: duz (100.0%)
