zukzikkə | məgxuki | вorş | məsruji
ləmsistan | dlitton | prezident | dkomunisti
ruznamь | gavo | qarxa | dvilə
darəçə | vudun | bkişjutə | bǝşəjuvь
vədta | dkule | kəpitalistetə | dqapital
krьsţjana | mşijxəjə | qəddijşi | mədxərtə
səmt | xzuri | pelxə | tupənq | supraxana
məkupi | paşuţь | ţrapa | cjələ
ruznamь | qənunə | ktivjə | bcirij
bxela | pijşɩ | bijovilə | lkis
xləjbə | snədtə | şəxlipə | industrializatsija
cərcərtə | nvəxə | niqo | kəlвə
вrьjra | miko | nьgaranuta | ptiltə
xьjjal | ţmara | pikkir | вləsə
məqdənə | şotapaja | dməxnəqtə | maqţalta
dakrəj | sovxoze | sənjənə | dkolxoz
hoğə | avtomobijl | qujrəti | kombarь | domna
agrotexnikə | bjulpana | texnikə | tusə
sajjarajь | stakan | рənsil | vərəqə
tuç | miljuni | snetə | bəlpi
